claim_id,area,claim,status,primary_metric,source_artifact,allowed_wording,forbidden_wording,next_action
C01,LOG_AGE scalar,Scalar LOG_AGE summaries help nonlinear models in some grouped views,partially_supported,"F3->F4 mean gain 0.000085; positive rows 10/20",docs/experiments/2026-05-22_capacity_baseline_synthesis.md,LOG_AGE scalar summaries help some grouped views,LOG_AGE solves operating-history generalization,Integrate as mixed evidence
C02,LOG_AGE stress,LOG_AGE stress features solve C-rate fade prediction,not_supported,"C-rate delta best stress MAE 0.102516 vs F4 0.101133",reports/baselines/capacity_stress_features_v1_1_hgb50/stress_feature_diagnostics.md,Stress features do not solve C-rate fade,Stress features solve C-rate fade,Keep as negative result
C03,Capacity,C-rate holdout is hardest capacity generalization view,supported,"C-rate MAE 0.125186 capacity_Ah_k1; 0.101133 delta_capacity_Ah",docs/experiments/2026-05-22_capacity_baseline_synthesis.md,C-rate is the dominant unresolved capacity stressor,Generalization is uniform,Lead benchmark narrative
C04,PULSE,PULSE RT/50 is usable scalar resistance endpoint,supported_for_diagnostics,"delta_pulse_1s_resistance C-rate MAE 0.00185842",docs/experiments/2026-05-23_pulse_target_robustness_decision.md,RT/50 PULSE supports scalar diagnostics,PULSE validates broad multimodal modeling,Include diagnostic endpoint
C05,PULSE coupling,PULSE growth explains capacity residual magnitude,supported_for_explanatory_diagnostics,"C-rate Pearson 0.857653 capacity; 0.647125 delta",docs/experiments/2026-05-23_capacity_pulse_coupling_robustness.md,PULSE growth is associated with residual magnitude,PULSE growth is causal,Include explanatory diagnostic
C06,Prior PULSE,Prior PULSE improves capacity level over F4 in selected splits,supported_for_selected_splits,"capacity_Ah_k1 gains vs F4: C-rate 0.00669208; temperature 0.00509620; profile 0.0214905",docs/experiments/2026-05-23_prior_pulse_capacity_prediction.md,Prior PULSE improves capacity level over F4 in selected splits,Prior PULSE improves all targets,Report with guardrails
C07,Prior PULSE,Prior PULSE beats strongest non-PULSE,not_supported,"C-rate gain 0.000392605 with p05 -0.00553843",docs/experiments/2026-05-23_prior_pulse_vs_best_nonpulse.md,Prior PULSE does not beat strongest non-PULSE,Prior PULSE is strongest feature path,Keep negative
C08,Prior PULSE,Prior PULSE improves delta_capacity_Ah,not_supported,"C-rate delta gain vs strongest non-PULSE -0.00234428",reports/baselines/capacity_prior_pulse_vs_best_nonpulse/prior_pulse_vs_best_nonpulse_claim_readiness.md,Fade-rate improvement remains unsupported,Prior PULSE improves fade-rate prediction,Keep blocked
C09,Uncertainty,Quantile HGB uncertainty is calibrated,not_supported,"Raw noncrossing q10-q90 mean coverage 0.701398; C-rate unacceptable",reports/analysis/calibration_capacity/calibration_claim_readiness.md,Raw HGB quantiles are undercovered even after noncrossing hygiene,HGB quantiles are calibrated,Keep blocked
C10,EIS,EIS improves non-EIS outcomes broadly,partially_supported,"Diagnostic endpoint; profile-split prior signal; C-rate unsupported",docs/experiments/2026-05-23_eis_claim_hardening.md,EIS is scalar diagnostic endpoint with narrow signals,EIS broadly improves degradation prediction,Diagnostic only
