grouping,group_value,row_count,parameter_set_count,total_intervals,mean_best_model_error,mean_persistence_error,mean_error_improvement_vs_persistence,max_best_model_error
temperature,0,6,3,38,0.1329819069715297,0.3961885185185185,0.2632066115469888,0.193505570859936
temperature,10,6,3,54,0.1540044376166037,0.4742121666666667,0.320207729050063,0.2764345999580851
temperature,25,6,3,88,0.06837989721850005,0.24385089761904763,0.17547100040054756,0.1085274080092568
temperature,40,6,3,134,0.09727203653409137,0.22516440300269905,0.12789236646860766,0.1474089691190151
voltage_window_family,approx_0_100,8,4,62,0.14666593491558255,0.43965016025641024,0.2929842253408277,0.24736463530699904
voltage_window_family,approx_10_100,8,4,72,0.1354812743721673,0.3478285020833333,0.21234722771116604,0.2764345999580851
voltage_window_family,approx_10_90,8,4,180,0.05733149946779378,0.2170833270154553,0.15975182754766154,0.08104773569256121
target,capacity_Ah_k1,12,12,157,0.12518636786777063,0.33485399645173297,0.20966762858396237,0.2764345999580851
target,delta_capacity_Ah,12,12,157,0.10113277130259181,0.33485399645173297,0.23372122514914118,0.193505570859936
parameter_set,20,2,1,12,0.1849654207371191,0.48400216666666673,0.2990367459295476,0.193505570859936
parameter_set,24,2,1,8,0.14739775369090333,0.4024384999999999,0.25504074630909657,0.15435262638693859
parameter_set,28,2,1,18,0.06658254648656672,0.3021248888888889,0.2355423424023222,0.08104773569256121
parameter_set,32,2,1,12,0.19211023431022128,0.5564216666666667,0.3643114323564454,0.24736463530699904
parameter_set,36,2,1,12,0.20867696272282527,0.5571718333333334,0.3484948706105082,0.2764345999580851
parameter_set,40,2,1,30,0.061226115816764626,0.309043,0.2478168841832354,0.07326388850505909
parameter_set,44,2,1,12,0.10252693118126824,0.4149285,0.3124015688187317,0.1085274080092568
parameter_set,48,2,1,20,0.04794309434136777,0.16491580000000003,0.11697270565863227,0.058944176408148564
parameter_set,52,2,1,56,0.05466966613286413,0.15170839285714285,0.09703872672427873,0.059088853564472354
parameter_set,56,2,1,26,0.10706115343372159,0.30324830769230765,0.19618715425858607,0.13105580982461823
parameter_set,60,2,1,32,0.1379072867335729,0.266787875,0.12888058826642712,0.1474089691190151
parameter_set,64,2,1,76,0.046847669434979616,0.10545702631578949,0.05860935688080987,0.05045681347280119
interval_count_bucket,11-20,6,3,88,0.10206485199468636,0.2930263942307692,0.19096154223608286,0.1474089691190151
interval_count_bucket,6-10,12,6,86,0.13380086496322804,0.4132608092592593,0.2794599442960312,0.2764345999580851
interval_count_bucket,<=5,2,1,8,0.14739775369090333,0.4024384999999999,0.25504074630909657,0.15435262638693859
interval_count_bucket,>20,4,2,132,0.05075866778392188,0.12858270958646617,0.07782404180254429,0.059088853564472354
capacity_Ah_k_range,2.4-2.6,2,1,18,0.06658254648656672,0.3021248888888889,0.2355423424023222,0.08104773569256121
capacity_Ah_k_range,2.6-2.8,10,5,78,0.1358955313026666,0.3822052882051282,0.24630975690246157,0.24736463530699904
capacity_Ah_k_range,<2.4,8,4,194,0.07516268452954532,0.20824907354323308,0.13308638901368777,0.1474089691190151
capacity_Ah_k_range,>=2.8,4,2,24,0.15560194695204674,0.48605016666666667,0.33044821971461996,0.2764345999580851
delta_capacity_Ah_range,-0.4--0.2,10,5,200,0.05545381844250857,0.20664982161236428,0.15119600316985568,0.08104773569256121
delta_capacity_Ah_range,-0.6--0.4,14,7,114,0.1543779632585188,0.42642840705128204,0.2720504437927632,0.2764345999580851
