run_scope,model_level,feature_group,target,split_name,fold_count,mean_mae,mean_rmse,condition_mean_mae,condition_median_mae,worst_condition_mae,q10_q90_interval_coverage,q10_q90_interval_width_mean,pinball_loss_q10,pinball_loss_q50,pinball_loss_q90,test_rows,test_parameter_sets
primary,L2_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,c_rate_holdout_fold,1,0.12264578030959815,0.20975159767946003,0.17537887078150827,0.1543678602404509,0.37740056985348036,,,,,,157,12
primary,L2_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,condition_fold,5,0.03486043317620256,0.08128659885117288,0.06619406701938871,0.04781822284530941,0.35401426642213435,,,,,,3827,76
primary,L2_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,profile_holdout_fold,1,0.048410470888720074,0.09087704487970509,0.06219213938855079,0.05782755575613875,0.13545936324349583,,,,,,752,12
primary,L2_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,temperature_holdout_fold,2,0.03922902626863331,0.09803261459710609,0.07975317067032925,0.05905597714669575,0.3440093014744156,,,,,,1802,38
primary,L2_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,voltage_window_holdout_fold,3,0.07197043201361797,0.1206096608720777,0.0992474365313142,0.08765401809675245,0.39871326647119054,,,,,,3827,76
primary,L2_hist_gradient_boosting,F1_state_time,delta_capacity_Ah,c_rate_holdout_fold,1,0.11596877398552866,0.19852892048909399,0.16743206459603113,0.13479652909981382,0.4235905869056001,,,,,,157,12
primary,L2_hist_gradient_boosting,F1_state_time,delta_capacity_Ah,condition_fold,5,0.03292232155759533,0.07963123424127513,0.06475348813382095,0.044813556644029445,0.3808866147733853,,,,,,3827,76
primary,L2_hist_gradient_boosting,F1_state_time,delta_capacity_Ah,profile_holdout_fold,1,0.051296773478537054,0.09636748085764842,0.06590311598026138,0.05620853731993495,0.13594522362540945,,,,,,752,12
primary,L2_hist_gradient_boosting,F1_state_time,delta_capacity_Ah,temperature_holdout_fold,2,0.03719029326665043,0.09668560011609795,0.07622958492155693,0.05641162954712083,0.3536118288790326,,,,,,1802,38
primary,L2_hist_gradient_boosting,F1_state_time,delta_capacity_Ah,voltage_window_holdout_fold,3,0.05362970633471751,0.09612320939502135,0.08012512514276209,0.06865850929457125,0.40769003802935305,,,,,,3827,76
primary,L2_hist_gradient_boosting,F2_state_exposure,capacity_Ah_k1,c_rate_holdout_fold,1,0.11649039741533922,0.20042959415770398,0.15775702015989046,0.13493882318471065,0.33337699803296356,,,,,,157,12
primary,L2_hist_gradient_boosting,F2_state_exposure,capacity_Ah_k1,condition_fold,5,0.034066068356003586,0.08005126869758636,0.06480584703522926,0.049439745096854004,0.31697521916394716,,,,,,3827,76
primary,L2_hist_gradient_boosting,F2_state_exposure,capacity_Ah_k1,profile_holdout_fold,1,0.06540163267913486,0.10418679364954213,0.0776565246064758,0.07202633905296163,0.14105553168830898,,,,,,752,12
primary,L2_hist_gradient_boosting,F2_state_exposure,capacity_Ah_k1,temperature_holdout_fold,2,0.03866176805580654,0.09805044798867812,0.07872216947875957,0.05684821991891563,0.3462002804824456,,,,,,1802,38
primary,L2_hist_gradient_boosting,F2_state_exposure,capacity_Ah_k1,voltage_window_holdout_fold,3,0.06363707063154664,0.11327430607539175,0.09006994509636024,0.08287294617851501,0.3662957305808392,,,,,,3827,76
primary,L2_hist_gradient_boosting,F2_state_exposure,delta_capacity_Ah,c_rate_holdout_fold,1,0.10781336276666348,0.18874520115056445,0.15389466565639037,0.11692521771370004,0.3676817242162314,,,,,,157,12
primary,L2_hist_gradient_boosting,F2_state_exposure,delta_capacity_Ah,condition_fold,5,0.031318958150744,0.07658560284139687,0.061090738881867925,0.043249119356769714,0.31407618998403136,,,,,,3827,76
primary,L2_hist_gradient_boosting,F2_state_exposure,delta_capacity_Ah,profile_holdout_fold,1,0.09775712094382187,0.12919589663083914,0.10419015006530961,0.10427081883383651,0.1513652847113749,,,,,,752,12
primary,L2_hist_gradient_boosting,F2_state_exposure,delta_capacity_Ah,temperature_holdout_fold,2,0.035373283946562264,0.09367934929195948,0.07078194168612735,0.05933483570669061,0.319260838906343,,,,,,1802,38
primary,L2_hist_gradient_boosting,F2_state_exposure,delta_capacity_Ah,voltage_window_holdout_fold,3,0.07327959319388015,0.10853289179130958,0.09453490392385773,0.08392312903333259,0.3662219765069983,,,,,,3827,76
primary,L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,c_rate_holdout_fold,1,0.1094554429969143,0.1853320813849855,0.14267590930052018,0.141207500794059,0.3083325294492451,,,,,,157,12
primary,L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,condition_fold,5,0.03195831801421887,0.07533521691084022,0.058884071437993325,0.04328745159931142,0.2999985501688513,,,,,,3827,76
primary,L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,profile_holdout_fold,1,0.047912230512311464,0.09296379114632587,0.06644186098184054,0.05550228230121813,0.1580103438088215,,,,,,752,12
primary,L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,temperature_holdout_fold,2,0.03577613353028611,0.09405822328259089,0.07170671270242643,0.05836726091274597,0.3182386216423407,,,,,,1802,38
primary,L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,voltage_window_holdout_fold,3,0.07518178431804322,0.11470365215295342,0.10213032656830191,0.09915051358246041,0.387563884770157,,,,,,3827,76
primary,L2_hist_gradient_boosting,F3_state_nominal,delta_capacity_Ah,c_rate_holdout_fold,1,0.1185105385023952,0.18634824457697344,0.1407785330676917,0.14168610806242274,0.2026889873578226,,,,,,157,12
primary,L2_hist_gradient_boosting,F3_state_nominal,delta_capacity_Ah,condition_fold,5,0.029429363418230305,0.07199788324770803,0.057879711308457725,0.04074426416475566,0.23058788065845467,,,,,,3827,76
primary,L2_hist_gradient_boosting,F3_state_nominal,delta_capacity_Ah,profile_holdout_fold,1,0.060343483132205625,0.09444263810712547,0.07389967545399152,0.0605451099012719,0.163117940750562,,,,,,752,12
primary,L2_hist_gradient_boosting,F3_state_nominal,delta_capacity_Ah,temperature_holdout_fold,2,0.03229918976911968,0.09082894876468453,0.06777243264243474,0.052118969959436434,0.33485478162618065,,,,,,1802,38
primary,L2_hist_gradient_boosting,F3_state_nominal,delta_capacity_Ah,voltage_window_holdout_fold,3,0.057298660220083696,0.0847674502842989,0.077701587979939,0.075475945249943,0.33021104857042977,,,,,,3827,76
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,1,0.09184040307093654,0.15916538230897417,0.12518636786777063,0.11979160891693752,0.2764345999580851,,,,,,157,12
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,5,0.030995424062215438,0.07218590001186348,0.05392666527617392,0.04475224925416543,0.2588867309972366,,,,,,3827,76
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,profile_holdout_fold,1,0.07006006630902376,0.10819020685237836,0.08436802390070613,0.07367608976551171,0.17718560597321364,,,,,,752,12
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,temperature_holdout_fold,2,0.03871997782735417,0.09228357738144016,0.06929389733378725,0.05925269097387954,0.2782085808786395,,,,,,1802,38
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,voltage_window_holdout_fold,3,0.06239438477866092,0.09793486716838541,0.08441287861354206,0.07963764587076089,0.3603624225203877,,,,,,3827,76
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,c_rate_holdout_fold,1,0.08173421578436833,0.12616470780674297,0.10113277130259181,0.08979647569805231,0.193505570859936,,,,,,157,12
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,5,0.026415232316391646,0.06338160048814606,0.044644919626207015,0.037842726786889436,0.18312179107343562,,,,,,3827,76
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,profile_holdout_fold,1,0.10086052487805526,0.13749674052456434,0.10915767923739267,0.10635580708256355,0.17749020768298213,,,,,,752,12
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,temperature_holdout_fold,2,0.02841401828990739,0.0775029685431727,0.04857476766234761,0.04784279126059907,0.16868537789777535,,,,,,1802,38
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,voltage_window_holdout_fold,3,0.05918880560915315,0.0807328445305194,0.07084470672683431,0.061544839778507214,0.2315662886975436,,,,,,3827,76
primary,L3_quantile_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,c_rate_holdout_fold,1,0.1449460900392564,0.24493865034188303,0.21359031593986624,0.17916322946362173,0.43618563839606317,0.5859872611464968,0.24996175926942485,0.05893151282908367,0.0724730450196282,0.026522440458084093,157,12
primary,L3_quantile_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,condition_fold,5,0.0331912341762922,0.09070759254145537,0.07221587939319071,0.044248755836594544,0.37244850263734636,0.8114029224897802,0.15806331715688832,0.014169571095684166,0.0165956170881461,0.01014414240245877,3827,76
primary,L3_quantile_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,profile_holdout_fold,1,0.04549695462114815,0.09829867134137478,0.06789982705213901,0.04454028765990853,0.21717120025523168,0.8736702127659575,0.1893645406318825,0.015326872691023325,0.022748477310574076,0.014544168285103496,752,12
primary,L3_quantile_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,temperature_holdout_fold,2,0.03993663763374463,0.11163407506444256,0.08669013156745692,0.06309875980924065,0.3146389690544067,0.7950134770889488,0.1569176519629099,0.017088605298608055,0.019968318816872315,0.010669360210090476,1802,38
primary,L3_quantile_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,voltage_window_holdout_fold,3,0.06239407901447869,0.10337638763170198,0.09243033877135093,0.0821060561769464,0.3987799184005599,0.6271327061916391,0.27958834192256266,0.0233301447904684,0.031197039507239344,0.021100471560716108,3827,76
